PRP$,RB,DT,JJ,NN,CC,VB,VBG,IN,NNP,NNS,PRP,VBP,MD,TO,VBZ,CD,VBD,VBN,RP,WP,WRB,FW,WDT,PDT,JJR,RBR,JJS,EX,RBS,NNPS,UH,WP$,$,'',POS,n't,'m,im,..,fucking,'s,suicide,hate,please,hope,na,fuck,ca,dont,people,kill,die,ie,feel,...,someone,life,wish,help,tired,really,anymore,want,cant,know,never,would,need,il,like,day,wan,going,gon,one,pain,talk,love,think,get,even,everyone,much,end,nothing,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,class_A,class_B,class_C,class_D
1.2,5.6,4.4,3.0,9.6,1.4,7.2,2.0,4.6,0.0,1.0,4.4,4.4,2.4,2.8,0.8,0.4,1.6,0.8,0.2,0.6,0.6,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03589842377051452,0.05510501023544831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008122388164680496,0.015555820007549093,0.0,0.0,0.009439482560022883,0.0071812415237008905,0.0,0.0059734517452089434,0.0,0.006284180230188501,0.0,0.0,0.0,0.0,0.0,0.0,0.003018018431927305,0.0,0.013567554315993236,0.0051961082407162434,0.0,0.007206397487818193,0.0,0.0,0.0,0.0,0.014717172469442272,0.0,0.0,0.0,0.009286077198853828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06329113924050633,0.17721518987341772,0.02531645569620253,0.13924050632911392,0.0759493670886076,0.12658227848101267,0.13924050632911392,0.11392405063291139,0.0379746835443038,0.10126582278481013,0.6,0.0,0.2,0.2
1.2,5.0,5.6,2.4,10.6,1.2,6.8,2.0,5.0,0.0,1.2,3.6,3.6,3.0,2.4,1.0,0.4,0.8,0.4,0.2,0.4,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041925166447316226,0.043797980560210344,0.0,0.0,0.0,0.006580790304689798,0.0,0.0,0.0,0.0,0.0,0.008300250679235543,0.015896458401874983,0.0,0.0039253885143819885,0.009646186557687618,0.003669247493861769,0.0,0.006104257257877752,0.0,0.006421790016251023,0.0,0.0,0.0,0.0,0.0,0.0,0.004626159640180541,0.0,0.006932327022770266,0.005309891632848716,0.0,0.007364201812368956,0.0,0.0,0.0,0.0,0.010026297546092059,0.0,0.0,0.0,0.009489421955033108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08108108108108109,0.14864864864864866,0.02702702702702703,0.13513513513513514,0.08108108108108109,0.14864864864864866,0.14864864864864866,0.10810810810810811,0.04054054054054054,0.08108108108108109,0.6666666666666666,0.0,0.16666666666666666,0.16666666666666666
1.6,4.2,5.8,3.6,12.4,2.0,6.4,2.0,5.4,0.0,2.0,3.2,3.8,2.6,3.2,1.2,0.2,1.6,1.0,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027972797743258067,0.03339697590027171,0.009925659909496436,0.0,0.0,0.011708678853798733,0.0,0.0,0.0,0.0,0.0,0.007383989240618633,0.014141654552317359,0.0,0.0034920664056515096,0.004290673890919493,0.0065284013851826285,0.0,0.002715205338731338,0.0,0.005712891118353184,0.0,0.0,0.0,0.008471000022034722,0.0,0.0,0.004115479679900871,0.0,0.01541767535908322,0.0,0.0,0.006551270443471085,0.0,0.0,0.005428761365398362,0.0,0.02229874616582162,0.0,0.0,0.0,0.00844188836259439,0.0,0.0,0.0030286183933663224,0.0,0.0,0.0,0.0,0.0,0.0958904109589041,0.1232876712328767,0.0136986301369863,0.1780821917808219,0.0547945205479452,0.2054794520547945,0.1095890410958904,0.1232876712328767,0.0273972602739726,0.0684931506849315,0.5,0.0625,0.3125,0.125
2.0,5.8,6.4,5.2,14.2,3.0,7.6,2.6,6.2,0.0,2.6,5.8,6.2,2.8,3.0,1.8,0.0,1.6,1.4,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03607881785981359,0.034459861230431106,0.007681163950062568,0.0,0.0,0.009060987655703541,0.0,0.0,0.0,0.0,0.0,0.005714242929925977,0.01094379297013504,0.0,0.002702403148092123,0.0033204210010130742,0.005052129715166456,0.0,0.002101214181731789,0.0,0.0,0.0,0.0,0.0,0.013110894506465801,0.0,0.0,0.003184843571380573,0.0,0.011931266358285508,0.0,0.0,0.0,0.0,0.0,0.012603456034241421,0.0,0.017256316128324272,0.0,0.0,0.0,0.0,0.0,0.0,0.004687509875159936,0.0027739990487456053,0.0046958257441437196,0.0,0.0,0.0,0.09183673469387756,0.10204081632653061,0.04081632653061224,0.17346938775510204,0.04081632653061224,0.22448979591836735,0.10204081632653061,0.12244897959183673,0.02040816326530612,0.08163265306122448,0.38095238095238093,0.14285714285714285,0.2857142857142857,0.19047619047619047
2.2,6.0,5.8,5.6,14.2,3.8,8.6,3.4,6.2,0.0,2.2,6.6,6.6,2.6,3.6,1.6,0.0,1.8,1.2,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03136755475093502,0.037450006956129926,0.007420153524575004,0.0,0.00838439969531609,0.013129635025376249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026105739149045264,0.003207591161172824,0.007320683106685375,0.0,0.0020298136998282814,0.0,0.0,0.0017296474347412174,0.004507885287337108,0.0,0.012665378673721818,0.0,0.0,0.0030766207315763793,0.0,0.009220667981742975,0.007062671395148292,0.003470477788943153,0.004897551690750228,0.0,0.0,0.01217518325637885,0.0,0.016669936454060823,0.0,0.0,0.0,0.0,0.0,0.0,0.004528225559013724,0.0026797369451474536,0.0045362588499252435,0.0,0.003810004678140525,0.0,0.06382978723404255,0.09574468085106383,0.0425531914893617,0.19148936170212766,0.0425531914893617,0.23404255319148937,0.0851063829787234,0.1595744680851064,0.010638297872340425,0.07446808510638298,0.36666666666666664,0.1,0.3,0.23333333333333334
1.8,6.2,6.2,6.4,14.0,4.6,9.2,3.4,5.6,0.0,2.4,7.2,6.8,3.0,3.2,2.6,0.0,2.0,1.6,0.2,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034026941962573005,0.03250005869599901,0.007244320502665645,0.0,0.008185717238081114,0.01709134164440763,0.0,0.0,0.0,0.006019825718594246,0.0,0.0,0.0051606985807034905,0.0,0.002548711973793045,0.0031315818919507195,0.004764804802455567,0.0,0.0019817138491214506,0.0,0.0,0.0033773210574093914,0.004401063361096892,0.0,0.012365251216998554,0.0,0.0,0.0030037150270366543,0.0,0.009002168740469446,0.006895309513746675,0.003388238978778624,0.004781495963481266,0.0,0.0015070131820665278,0.01188667180480589,0.0,0.013019931410565044,0.0,0.0,0.0,0.0,0.0,0.0,0.004420921635814347,0.0026162360696700263,0.004428764564381992,0.0,0.0037197202070945417,0.0,0.06422018348623854,0.11926605504587157,0.03669724770642202,0.1559633027522936,0.06422018348623854,0.2018348623853211,0.10091743119266056,0.12844036697247707,0.03669724770642202,0.09174311926605505,0.4375,0.09375,0.25,0.21875
3.6,8.6,8.8,10.4,18.6,7.8,13.8,5.6,11.2,0.0,4.6,12.2,9.0,4.0,5.2,4.4,0.8,2.4,2.6,0.4,1.0,1.2,0.0,0.2,0.0,0.4,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034810592747165595,0.02597542570021133,0.00463197462443167,0.0,0.00523389799162156,0.0191241754612046,0.0,0.0,0.0,0.003849040080676927,0.0,0.0,0.013198877582162866,0.0,0.0016296309893040377,0.010011572412145483,0.0030465873130852265,0.0,0.002534191649482582,0.0,0.0026660158552314858,0.0021594386154950955,0.0028140132399740734,0.0,0.007906266687232407,0.0,0.0,0.0012803714559691598,0.0,0.00719491516757217,0.004408819113334995,0.004332838936498725,0.003057259540286506,0.0,0.0038543003808004525,0.012667109852596177,0.0,0.008324865235240073,0.0,0.0,0.0,0.003939547902544048,0.0,0.0,0.005653421000950468,0.0016728054869708348,0.0056634504429369705,0.0,0.0023783665566574188,0.0,0.07329842931937172,0.10471204188481675,0.05759162303664921,0.15706806282722513,0.04712041884816754,0.19895287958115182,0.08376963350785341,0.14136125654450263,0.05235602094240838,0.08376963350785341,0.44680851063829785,0.0851063829787234,0.2127659574468085,0.2553191489361702
3.0,8.8,7.6,8.2,15.0,7.0,12.8,5.4,9.8,0.0,3.8,11.8,8.2,3.6,4.8,3.8,0.8,1.4,1.8,0.6,0.8,1.2,0.0,0.2,0.0,0.2,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03974911974589843,0.029660520695743042,0.0,0.0,0.008964634968348347,0.01871768038219728,0.0,0.0,0.0,0.004395097669977114,0.0,0.0,0.015071382706275938,0.0,0.0018608243130461331,0.01143189929414536,0.001739401061104022,0.0,0.002893713648198104,0.0,0.003044239557876783,0.0024657949588698324,0.0032132331113890805,0.0,0.004513958489250337,0.0,0.0,0.0007310079246882746,0.0,0.0032862588308634135,0.0050342917211091635,0.004947532349635222,0.003490988402403277,0.0,0.00440110424105242,0.011571339104101698,0.0,0.009505901479685896,0.0,0.0,0.0,0.004498445701866906,0.0,0.0,0.004841597570018134,0.0019101239124580467,0.006466915730689275,0.0,0.0027157818813043195,0.0,0.0650887573964497,0.09467455621301775,0.0650887573964497,0.13609467455621302,0.05917159763313609,0.1834319526627219,0.10059171597633136,0.13609467455621302,0.05917159763313609,0.10059171597633136,0.4186046511627907,0.06976744186046512,0.20930232558139536,0.3023255813953488
2.8,10.4,9.6,10.4,18.6,6.2,13.6,6.0,11.4,0.0,3.4,11.0,7.0,4.6,5.0,5.4,1.2,2.2,1.8,0.6,1.0,1.8,0.0,0.2,0.0,0.2,0.4,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.03534614032789122,0.029012552397466806,0.0,0.0,0.01594325849755491,0.02219244976596929,0.0,0.0,0.0,0.019541280409590554,0.0,0.003498874901708521,0.013401937237273065,0.0,0.0016547022352933307,0.01219871592372188,0.0015467289435663458,0.0,0.0012865896066603878,0.0,0.005414062967547017,0.0032889911220617615,0.00285730575135829,0.0,0.0,0.0,0.0,0.0,0.0,0.0043833637020901225,0.004476647099693995,0.004399497997060244,0.0031042943024447603,0.0,0.007827194619471688,0.005144795386285216,0.0,0.010566175106266246,0.0,0.0017784655295496497,0.0,0.004000156331813957,0.0,0.0,0.004305297531493049,0.0016985409560011553,0.005750580449751385,0.0,0.004829913622750451,0.002811240033715613,0.04945054945054945,0.11538461538461539,0.04395604395604396,0.10989010989010989,0.08791208791208792,0.14285714285714285,0.13186813186813187,0.11538461538461539,0.08241758241758242,0.12087912087912088,0.49019607843137253,0.0196078431372549,0.2549019607843137,0.23529411764705882
3.0,10.8,9.2,10.2,18.0,6.4,12.8,5.2,11.8,0.0,4.2,10.6,7.4,4.0,4.8,5.6,1.4,1.8,2.0,0.6,1.2,1.8,0.0,0.2,0.2,0.0,0.4,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.04102677002344517,0.02449111566019925,0.0,0.0,0.01096626245863565,0.022896971980761967,0.0,0.0,0.0,0.02016163851783152,0.0,0.0036099502954135537,0.017284244452832324,0.0,0.003414464929970365,0.01048831395558098,0.0,0.0,0.001327433721157543,0.0,0.00558593798238978,0.002262269025756767,0.0,0.0,0.0,0.0,0.0,0.002682683050602049,0.0,0.006030024140441438,0.0,0.002269582300070761,0.0,0.0,0.008075676988343805,0.005308122223945065,0.0,0.008721287389299124,0.0,0.001834924752709956,0.0,0.008254290843425624,0.0,0.002183741834916089,0.004441973643603939,0.001752462891112303,0.005933138559267303,0.0,0.002491622106974439,0.002900485749071664,0.05952380952380952,0.10714285714285714,0.047619047619047616,0.10119047619047619,0.07738095238095238,0.16071428571428573,0.13690476190476192,0.1130952380952381,0.08333333333333333,0.1130952380952381,0.4883720930232558,0.023255813953488372,0.2558139534883721,0.23255813953488372
