user_id,emoji_sequence,label
n-0002,"😊😌💪✨🌟,✨💪😊🌟,😌🙏✨,😊💚🌟🙏,🌈✨😊💚🌟,,😊✨🌟💪🌈,😊😌💚,🌟💚🙏,😊✨🌈,😊😌✨🌈,😊💚🌟🙏,😔💔😞,😊✨🌟💚,😌💪🙏",0
n-0005,"😊🌟💚,😊🌟💚🌈,😊✨🌟💚,😊✨🌟💚🌈,😊✨🌟💚😌,😊✨🌟🌈,😊✨🌟💚😌,😊✨🌈💪,😌💪🌈,😊✨🌈,😊😌✨🌟,😊✨🌈,😊😌✨🌈,😊✨🌟💚,😊😌✨,😊✨💪🌟🌈,😔😢😣💔,😊✨🌟💪,😊✨🌟💪,😊✨🌟,🌈💪✨,😊✨🌟💚,😊✨🌟,😊✨🌟💚,😊✨🌟,😊✨🌟,😊✨🌈,😊🙏💪,🆘😰⚠️🌑,😊✨💚,😊✨🌈,😔😣😩😞,😊😌💚🌟,😊😌💪🌈,😊😌✨,😊✨🌈,😊😌💪✨,🙏💪😌🌟,😊🌟🙏💚,😊✨🌟🌈,😊💪✨,😊✨🌈,😊✨🌈💚,😊✨🙏🌈,😊😌✨🌈,😊✨🌟💚😌,😊✨🌟😌💚",0
n-0007,"😊😌✨🌈,😊✨🌟💚,😊✨🌟,😊✨🌟🌈,😊💚🌈,😣😩😔😞,😊✨🌟🙏,😌💪🌟💚,😊✨💪🌟,😊😌💚✨,😌💪✨🙏,😊💪✨🌈,😊✨🌟💚,😊😌✨🌟,😊💪✨🌟,😊✨🌟💚,😊✨🌟💚,😊🌟💚✨,😊✨🌟💚,😊✨🌟,😊✨🌟💚,😊🌟💪🌈,😊✨🌟,💪😌✨🌟,😊😌🌟💚🌈,😌💪🌈,😊😌✨🌟,😩😔😞,😊😌💚🌈,😊😌✨🌟,😊💪✨,😊✨💪🌈,😊🌟💚,😊🌟💚🙏,😊💪✨,😔😞😩😣,😊💪✨🌈,😊😌✨🌟,😔💔😢😖😩,✨🌟😊💚,✨🌟😊💚,😊✨🌟,😊✨🌟💚,😊✨🌟💚🙏,🌟✨😊,😊🌟✨💚🙏,✨🌟😊💚,😊✨🌟💚,😊🌟🙏💚,😊✨🌟,😊✨🌟,😊✨🌟💚,😊✨🌟💚🌈,😊✨🌟,😊✨🌟💚,😊✨🌈💪,😊✨🌟💚🙏,🌟✨😊💚,😊✨🌟,😊✨🌟,😊💚🌈✨,😊✨🌟💚🌈,😊✨🌈,😊🌟💚,😊✨🌈,😊✨🌟,💪✨😊,😊💚🌟,😊🌈💪,😊✨🌟,😊✨🌟,😊✨🌟💚,😊🌟🌈💚,😊✨🌟,😊✨🌟,😊✨🌟💚,😊✨🌟,😊✨🌈💚,😊✨🌈💚,😊✨🌟💚,😊✨🌈💚,😊✨🌈💚,🙏✨😊💪,😊🙏✨💚,😌💪✨,😊😌💪✨,😊🌟💚,😊✨🌟,😊✨🌟💚,✨🌟😊",0
n-0008,"😌🙏💪💚,😌💚🙏,😌💚✨🌈,😊🌟💚,😊✨🌟,😊✨🌈,😔😞💔,😌🌟🙏💚,😊😌🌈✨,😌✨🙏💚,😔😞😢,😌💪✨🌈,😊✨🌈,😌🌟🌈💚,😔😢😞😣,😔😞😣😩,😊✨💚,😊😌✨🌈,🌑⚠️🆘😰💀,🩸🚨💀😰,😊😌✨,😰😢🌑🆘,🙏💚😌✨,🆘😰⚠️🌑,😊✨🌟,😊💚✨🌟,😊😌✨🌈,😊💚✨🙏🌈,😊💪✨🌟,😊😌💚🌈,😊😌✨🌟,😊💪✨🌟,😊💚✨🌈,😌💚✨🙏,😌💚🙏✨,😊✨🌈💪,😌😊✨🌈,😌✨😊💚,😊✨🌈,✨🌟😊💚,😊✨🌈,🆘😰⚠️🚨,😌💪🌈,😌🌈💚,😌💪💚✨,😊😌💚✨,😊😌✨🌟,😊😌✨🌟,😊💚🌈,😊😌✨🌟,😊✨🌟💚,😊✨🌟💚😌,😊✨🌈,😊😌✨🌟💚,😊😌💚✨,,😔😢😩,😊😌🌟✨",0
n-0016,"✨🌟💚😊😌,✨🌟😌💚🌈,✨🌟💚,✨🌟😌💚,✨🌟😊,✨🌟💚😌,😊✨🌟,✨🌟💚,🌟✨🙏,😊✨🌟🙏,😊✨🌈,✨🌟😊😌💚,😊✨🌟,🌟✨😊,😊✨🌟,😊😌💚✨🌈,😊🌟💚🌈,✨🌟😊,✨🌟💚,✨😌🌟,😊✨🌈,🌟✨💚,😊✨🌟,😊🌟🌈,✨🌟😊,😌🙏💚✨,😊😌✨,😌💪🙏🌈,✨🌟😊😌💚,😊🌟💚,✨🌟💚🌈,😔😞😣,✨🌟😊😌,😊✨🌈💪,✨🌟😊🙏💚,😣😖😩😔,😊✨💪🌈,😊✨🌈💪,😊✨🌟💚🌈,✨😊🌟💚,✨🌟😊,😔😣😞,😊😌✨🌟💚,😊✨🌈,😊✨🌟,✨🌟😊,😊✨🌟🙏💚,✨😌💚🌈,😊✨🌟😌💚,😊✨🌟💚,✨🌟💚😊,😊✨🌟💚,😊🌟💚✨,✨🌟💚😊😌,✨🌟💚,✨🌟💚😌🙏,😖😩😔,😊😌💪✨🌟,✨😊🌟,😊✨🌟💚,🌟✨😊,😊✨🌟🙏,😊😌✨,😊😌✨,✨🌟💚😌🌈,💪✨🌈😊,😊✨🌟,💪✨🌟🌈,😊✨🌈,😊😌💚✨🌈,😊✨💚🌟🌈,😔😣😖😩,✨🌟😊,😊😌💚✨,😊✨💚🌈,😊😌✨🌈,😊✨🌟,😊✨🌈💚,😊😌✨🌈,✨🌟😊💚,😊😌🌈✨,✨🌟😊🙏,😌💪🌈,😊😌✨🌟,😊💪🌟,😊✨🌟,😊✨🌟💚,😔💔😞😢,😊✨🌟💚,😊✨🌟,😊✨🌟💚🌈,😔😞💔😣,💚🌈😌✨,😔😞💔😖,😊✨🌟,😊😌✨🌟💚,😊😌✨🌟,😔💔😞😩,😌💚🌟,😊😌💚✨",0
n-0018,"😊🌟💚✨😌,😊💪✨,😊✨🌟,😊✨🌟,😊🌟💚,😊✨🌟💚,😊✨🌟,😊✨🌟💚,✨🌟😊💚🙏,😊✨🌟💚,😊✨🌟,😊✨🌟,😊😌✨,✨🌟💚😊,✨🌟😊💚,😊✨🌟,😊✨💚🌟😌,😊😌✨🌈,😊✨🌈,😊✨💚🌟,😊😌💪✨🌟,😊✨🌈,😊💪✨,😊✨🌟💚,😊✨🌟💚,😊💚✨,😊✨🌈😌,😌💚🌈✨,😌💪✨,😊😌✨🌈,😊🌟💚,😊💚✨,😊✨🌟,😊🌟🌈💚,😊😌✨🌈,😊✨🌟💚,😊✨🌈,😊✨🌈💪,😊😌✨🌈,😌💪🌈,🙏💚✨😌,😌✨🌟,😊✨🌈💪,😊✨🌟,🌟✨🌈,😊✨🌈💚,😌💚🌈,😊✨🌈💚,😊💚🌈,😊✨🌟💚,😊✨🌟,😊😌✨🌈,😊✨🌟,😊✨🌟,😊🙏✨,😊✨🌟💚,😊✨🌟💚,😊💚✨🙏,😊✨🌈,🙏✨😊💚🌟,😊✨🌟💚🌈,😊✨🌈💚,😌💪✨🌈,😊✨🌈,😊✨🌟💚,😌🙏💚✨,😊😌✨🌈,😊✨🌈😌,😊✨💚🌟🌈,😊😌✨🌟,😊✨💚🌈,😊✨💚🌟😌,😊✨🌈💪,😊✨🌟💚,😊✨🌟,😊✨🌟,😊💚🌟,😊✨🌟💚,😊✨🌟💚😌,😊💪✨,😊😌💪✨,😊😌✨🌈,😊💪✨🌟,😊✨🌈💚😌,⚠️🚨😰🆘,✨🌟💚,😊😌✨🌈,💪✨🌈,😊💚✨🌈,😊✨🌈,😊🌟🌈,😊💪✨🌈😌,🌟😊🌈💚😌,✨😊🌟🙏💚,😊😌✨🌟,😊✨🌈,😊✨🌈💚,😊✨💚🌈,😊🌈✨",0
n-0020,"😌✨🌟💪,💪✨🌟,😊✨💪🌟💚,😌💪🌈✨,😌💪✨,😊💪✨🌟💚,😌✨🌈,😔😞💔,😌✨💪,😌✨💪,😌💪🌈,😊✨🌟,😌💪✨🌟,😔😞😣,😌💪🌈🙏,😊💪✨🌟,😊✨🌟,😊😌💚,😌💪✨🌟,😌✨💪,💪✨😌🌟,😌🙏💚,😌💪✨🙏,😌✨💪🌈,😊✨🌈,💪✨🌈💚,😌💪🌟🌈,😊😌✨🌈💪,😔💔😢,😔💔😞😩,🌟✨😊🌈,😩😔😣,😔💔😞😣,😔😞💔😢,😊✨🌟🌈,😊😌🌟,😊😌✨💚🌈,😌✨🌟💚,💪✨😌🌟,😔😞😢😣,😊💪✨🌈,🌟✨😊💚,😔😞😣,😌💪🌟🌈,😌✨🌈,😌💪🌈✨,😊😌✨🌟,😔😞💔😣,😣😔😖,😊😌🌈,😔😞😣,😔😞💔,😊😌🌈💚,😌✨🌈💚,😔😢😣,😌💪✨🌟,😊😌✨🌟,😊😌💪🌈,😊😌✨🌈,😊✨💪🌈😌,😌💚✨,😊✨🌟💪,😊💪✨,😊🙏💚,😊🌟🙏💚,😊✨🌟💚🙏,😔😞😢,😔😞😢😣,😊✨🙏💚🌈,😊✨🌟🙏,😊😌🌈,😊💚✨🌟🌈,⚠️😰🌑🕳️,😊✨🌟💚🌈,😌✨💪🌈,😌💪🌈,😔😞😣😢,😌✨🌈💚,😌💪✨,😊✨🌟💚,😊🌟💚😌,😊😌✨🌈,😌✨💚🌟,😌✨🌈,😊😌✨,😊😌💚✨🌈,😌💪✨🌈,😌✨🌈💚,😊✨💚,😊✨🌈💪,😊😌🌈💚,😊😌🌈✨,😊😌💚🌟🙏,😌💚😌,😊😌✨💚,😊💚✨,😊✨🌈💚,😊🌟💚,😊😌✨🌟💚,😔💔😢😣😩",0
n-0023,"😊💚🌟🙏,😔💔😞😣,😊😌💚,😊💚✨,😊😌💪✨🌟,😊😌✨🌈,😊✨🌟,😊😌💚,😊🌟💚,🌟💚😊✨,✨🌟💚😌💪,😊✨🌟💚🌈,😊✨🌈,😊💪💚🌟,😊✨💪,😊💚✨,😊💪✨🌟,😊✨🌈,😊💪✨,😊💪✨🌈,😊✨🌈,😊💚🌟💪,😊✨💪🌟💚,😊🌟💚,😊✨🌟💚,😊💚🌟,😊✨🌟,😊💪✨🌈,😊💚🌈,😊✨🌟,😊✨🌟,😊✨🌈,😊😌✨🌟,😊✨💪,😊😌✨🌟,😊✨💚🌈,😊✨🌟,😊✨🌈,😊💪✨🌈,😊🌟💚,😊✨💪,😊✨🌟,😊💚🌟,😊✨🌟,🙏💚🌈,😊💪✨🌟,😊😌💪,😊✨🌟💚,😊💚🌟,😊💪✨,😊✨💪🌟💚,😊💚🌟,😊😌✨🌟,😊💪✨,😊✨🌈,😊✨🌟💚,😊✨🌟,😊🌟💚,😊💪🌟,😊🌟💚,😊💪✨🌈💚,😊😌✨🌈,😊✨🌈💪😌,😊✨💪,😊😌✨🌟,😊✨🌟💚,😊🌟💚✨,😊💪✨🌟,😊💚🌟,😊😌💚,🌟💚😊,😊✨💚,😊💚🌟,🌟✨😊💚,😊😌💪✨,😊💚🌟🌈,😊😌💪✨,😊💚🌈,😊✨🌟,😊😌💪🌟,😊✨🌟💚,😊🌟💚✨,😊💚✨🌟,😊🌟💚,😊✨🌈💪,😊✨🌟,😊😌✨🌟💚,😊✨💚🌈,😊💪✨,😊😌💪✨🌟,😊✨💚,😊💚✨,😊💪✨🌟💚,😊✨🌟,😊🌟💚✨🙏,😊✨🌈,😊✨💪🌈,😊😌💪✨,😊🌟✨💚,😊💚🌈",0
n-0028,"😌✨💚,😊✨🌟,😌✨🙏🌈,😊✨🌟💚,😊💪🌟,😌💚✨🙏,✨💪🌈😊,😊✨🌟💚,😊🌟💪✨,😊🌟✨💚🙏,😊🌟💚😌,😊🌟💚,😊😌✨,😊😌✨🌟,😊🌟💚😌,😊✨🌟💚,😊😌💪,😊✨🌟,😊✨🌟,✨🌟😊🙏💚,😊💚🌈✨,😊💚🌈✨,😊😌✨🌈,😊🌟✨,😊😌✨🌈,😌💪✨🌟,😊😌✨🌟💚,😊✨🌟,😊💚✨,😌💪🌈✨,😊😌✨🌈💚,😊🌟✨💚,😊💪✨🌟,🌈✨😌,😊😌✨🌟,😊✨🌟,😊😌💚✨🌈,😊✨🌟💚,😊✨🌟💚,😊💚✨🌟,💀⚰️🚨😰",0
n-0036,"😊✨💚🌟🙏,😊✨🌈💪,😊✨🌟,😊🌟💚🙏,😊😌✨🌟,😊✨🌟,😊✨🌟,😊😌✨🌟,😊✨🌟,😊✨🌟,✨🌟😊,😊✨🌟💚,😊✨🌟,😊✨🌟💚,😊✨🌟🙏,😊✨🌟🙏,✨🌟😊💚,😌💪🌈,😊✨🌟💚🌈,😊💪✨🌟,😊✨💪🌟😌,😊💚🌈✨,💚✨🙏💪,💚✨🙏💪,😊✨🌟💚🌈,💚🌟✨😊,😊✨🌈💚,😊😌✨🌟,😊😌✨,💚🌟💪🙏,😌✨🌟💚,😔😞😩,😊💚🌈✨,😊✨🌟,😊✨🌈💚,💚🌟💪😊,😊✨🌟💚,😊✨🌟💪,😊😌✨🌟💚,😊✨🌟💚,😊✨🌟,😊✨🌟,😊✨🌟,🙏💚🌈💪,😊💚🌈🙏,😊😌✨,✨🌟💚,😊💪✨🌟,✨💪🌟😊,😢😔💔,💪✨😌,😊😌🙏✨,😊✨🌟🌈,😌✨🌈💚,😊💪✨,😊✨🌟💚,😊✨🌟,😊✨🌟💚,😊✨🌟💚,😊✨🌟,😊😌✨🌟,😊✨🌟💚,😊✨🌟,😊✨🌈,😊✨🌟💚,😊✨🌟🌈",0
