机构名称,机构类型,地址,电话,评分,营业时间,经度,纬度,城市,区县,POI_ID,数据来源
首都医科大学附属北京安定医院,精神专科医院,安康胡同5号,010-86430066,,24小时营业,116.376791,39.952767,北京市,西城区,B000A80ZRG,试点地区搜索
北京市精神疾病会诊中心,其他,安康胡同5号首都医科大学附属北京安定医院,,,,116.376803,39.952753,北京市,西城区,B000A80XL5,试点地区搜索
首都医科大学附属北京回龙观医院,精神专科医院,南店路7号,,,09:00-16:30,116.329899,40.066758,北京市,昌平区,B000A0989A,试点地区搜索
北京回龙观医院精神医学研究中心,精神专科医院,回龙观西三旗桥北200米东回龙观医院,,,,116.330441,40.067543,北京市,昌平区,B0FFG2XH6Y,试点地区搜索
大兴区心康医院,其他,林校路与黄良路交叉口北200米路东,010-61213671;010-61216048,,08:00-20:00,116.331818,39.705936,北京市,大兴区,B0FFJQ53RS,试点地区搜索
北京市朝阳区第三医院(双桥南街),综合医院,双桥南街甲8号,,,08:30-11:30,116.603140,39.887684,北京市,朝阳区,B000A8UI4R,试点地区搜索
北京市朝阳区精神卫生中心,精神专科医院,双桥南街甲8号北京市朝阳区第三医院,010-52023403,,,116.603475,39.887230,北京市,朝阳区,B000A88800,试点地区搜索
北京市海淀区心理康复医院,其他,苏家坨镇西小营村温阳路,010-62409383;010-62461498,,,116.160873,40.079634,北京市,海淀区,B000A8XP1G,试点地区搜索
海淀区精神卫生防治指导中心,其他,苏家坨镇西小营村温阳路北京市海淀区心理康复医院,,,,116.160785,40.079500,北京市,海淀区,B0L2ZC4IKL,试点地区搜索
北京市昌平区精神卫生保健院,其他,南口镇工商行政管理学校东门,010-69731160;010-69738501,,08:00-17:00,116.128917,40.230480,北京市,昌平区,B0KKUSZ3V9,试点地区搜索
东城区东外医院,其他,东直门外察慈小区7号楼,010-64609795;010-65282009,,,116.440457,39.943153,北京市,东城区,B0FFGYODGU,试点地区搜索
通州区精神卫生中心,精神专科医院,宋庄镇北侧,010-69591039,,,116.722134,39.953746,北京市,通州区,B000A7QNA1,试点地区搜索
大柳树医院,其他,王四营路大柳树153号,010-67200300,,,116.511849,39.874200,北京市,朝阳区,B000A7RGO0,试点地区搜索
北京市石景山路安康中医医院,其他,模式口南里临丁9号(模式口地铁站B口步行440米),010-68874318,,08:00-20:00,116.160298,39.932209,北京市,石景山区,B0FFHK0JOD,试点地区搜索
北京市密云区精神卫生防治院,其他,密三路,010-61069165;010-61086580;010-61089788,,08:00-12:00 12:30-16:30,116.988543,40.364647,北京市,密云区,B000A7Q0CX,试点地区搜索
国家心理健康和精神卫生防治中心,心理咨询中心,樱花园西街7号院-4,19710183517,,,116.416951,39.974564,北京市,朝阳区,B0HUBZCSFN,试点地区搜索
北京市东城区精神卫生保健院发热门诊,其他,东直门外察慈小区7号楼,,,08:00-17:00,116.440389,39.943229,北京市,东城区,B0IKOA0T13,试点地区搜索
延庆区精神卫生保健院,其他,京银路北50米,010-69111206,,08:30-16:00,115.856547,40.479317,北京市,延庆区,B000A7QZTJ,试点地区搜索
北京市中西医结合精神医学研究所,其他,南店北路北京回龙观医院,,,,116.328719,40.066630,北京市,昌平区,B0FFFAM0T8,试点地区搜索
北京大学精神卫生研究所,其他,北京大学医学部国内合作与产业管理办公室北门东60米,010-82801984,,,116.357329,39.981960,北京市,海淀区,B000A3A10E,试点地区搜索
北京市西城区精神卫生保健所,其他,新街口南大街119号(平安里地铁站A西北口步行190米),,,,116.372617,39.936072,北京市,西城区,B0HGF766CU,试点地区搜索
北京市石景山区精神卫生保健所,其他,石门路322号,010-51510589,,08:00-11:30 13:00-16:30,116.127493,39.955754,北京市,石景山区,B0FFJRWHUT,试点地区搜索
北京华科中西医结合医院精神心理诊疗中心,其他,北京城区红莲南路71号3楼,15121095188,,08:00-17:00,116.328935,39.877284,北京市,西城区,B0JGZ7EB7I,试点地区搜索
北京中西医结合精神与心理疑难病专家会诊中心,其他,朝阳门南大街12号,13580925012,,08:00-17:00,116.435612,39.918502,北京市,朝阳区,B0KUS7U1PB,试点地区搜索
房山区精神卫生保健院山口分院,其他,沿河路53号,,,,115.937712,39.703438,北京市,房山区,B0KUOSTHPU,试点地区搜索
北京天使儿童医院-北京总院,其他,广渠路大郊亭桥东200米2号,15300271779,,,116.492598,39.892595,北京市,朝阳区,B000ABCLP7,试点地区搜索
北京心邻医学-心理咨询中心,心理咨询中心,东直门外十字坡街6-102号,17310138623,4.5,08:00-12:00 13:00-17:00,116.439314,39.938963,北京市,东城区,B0LURC5D17,试点地区搜索
首都医科大学附属北京安定医院临床心理中心,精神专科医院,北锣鼓巷38号,,,08:00-12:00 12:30-16:30,116.402862,39.945796,北京市,东城区,B0G0DZ7747,试点地区搜索
安肯心理咨询(北航店),心理咨询中心,知春路1号9层901(西土城地铁站A西北口步行140米),4000520088,4.7,24小时营业,116.353101,39.977420,北京市,海淀区,B0HKGLHYCN,试点地区搜索
安肯心理咨询(国贸店),心理咨询中心,西大望路1号公寓11层1210号,4000520088,4.6,08:00-23:00,116.476591,39.912845,北京市,朝阳区,B0JDRDOPJZ,试点地区搜索
安肯心理咨询(望京店),心理咨询中心,阜通东大街6号院1号楼14层1707室05,4000520088,4.4,08:00-24:00,116.481770,39.990970,北京市,朝阳区,B0KDZ7IF3A,试点地区搜索
北京华科中西医结合医院心理咨询科,心理咨询中心,北京城区红莲南路28号6-1幢4层B410室,15121095188,4.3,08:00-17:00,116.328935,39.877284,北京市,西城区,B0JG5H17O5,试点地区搜索
北京裕和医院精神心理咨询中心,心理咨询中心,北京城区永定路15号3号平房,010-53603567;17310128283,4.2,08:00-18:00,116.264400,39.921951,北京市,海淀区,B0K1HCP7U0,试点地区搜索
心苑心理咨询,心理咨询中心,华盛乐章B座710(306医院斜对面),010-64101229;13161744998,3.7,09:00-21:00,116.380602,39.993941,北京市,朝阳区,B0FFI8Z5PH,试点地区搜索
北京德胜门中医院-精神心理科,其他,北京城区德胜门外大街36号楼11层2单元1101,15810155962,4.3,08:00-17:00,116.380172,39.955999,北京市,西城区,B0FFF33T6T,试点地区搜索
北京市海淀区心理康复医院心理中心,其他,恩济西园10号楼一层(海淀五路居地铁站C东南口步行170米),010-85887561,4.5,08:30-16:30,116.279212,39.932081,北京市,海淀区,B0I2JZ4RPY,试点地区搜索
丰台区心理卫生中心,其他,五爱屯东街10号,,,08:00-12:00 13:30-17:00,116.381675,39.800842,北京市,丰台区,B0I1YZ7788,试点地区搜索
北京国奥心理医院,其他,北四环中路27号院奥雅观宸3层,,4.4,09:00-19:00,116.386952,39.989734,北京市,朝阳区,B0L1OUO053,试点地区搜索
北京三医中医医院,其他,学院路甲38号1号院5层(北医三院生殖医学中心五层),18710079391,,09:00-21:00,116.354542,39.981977,北京市,海淀区,B0JKSHZ6F3,试点地区搜索
解放军总医院第五医学中心北院区肝病心理门诊,其他,西四环中路100号解放军总医院第五医学中心感染门诊3层,,,,116.278775,39.883925,北京市,丰台区,B0FFK5DACD,试点地区搜索
北京市心理卫生中心,其他,北锣鼓巷38号,,,,116.403858,39.946034,北京市,东城区,B0J3YU7M3B,试点地区搜索
北京京和堂心理咨询,心理咨询中心,马家堡路180号3层335-1602,,3.6,,116.376816,39.843134,北京市,丰台区,B0KU9AFFJJ,试点地区搜索
北京大学临床心理中心,其他,北京大学医学部国内合作与产业管理办公室北门东南70米,,,,116.357303,39.981758,北京市,海淀区,B0FFFE098G,试点地区搜索
北京协和医院东单院区心理医学科,其他,帅府园1号北京协和医院(东单院区),,,,116.417171,39.913345,北京市,东城区,B0FFF4KHBV,试点地区搜索
北京联科中医院临床心理门诊,其他,石门路38号,,3.6,,116.152529,39.937522,北京市,石景山区,B0LBOG9FLJ,试点地区搜索
北京市海淀区心理康复医院康复中心,其他,聂各庄路68号,,,08:30-16:30,116.120137,40.091441,北京市,海淀区,B0J3D7M3U1,试点地区搜索
北京医大精神心理科,其他,北京医大中西医结合医院门诊楼,15727318827,,,116.557523,40.099266,北京市,顺义区,B0KKCAMYOK,试点地区搜索
雨天晴心理咨询(西大望路店),心理咨询中心,西大望路27号74幢202室,15901320352,4.5,09:00-21:30,116.481241,39.887129,北京市,朝阳区,B0FFIL8YJQ,试点地区搜索
壹点灵·心理咨询中心(国贸店),心理咨询中心,东三环中路39号院16号楼1802室,4000067825,4.7,24小时营业,116.453143,39.905333,北京市,朝阳区,B0JUYYN7A5,试点地区搜索
壹点灵·心理咨询中心(望京店),心理咨询中心,北京城区阜通东大街6号院1号楼5层507,4000067825,4.5,24小时营业,116.481686,39.990934,北京市,朝阳区,B0KG2SXW0R,试点地区搜索
壹点灵·心理咨询中心(金融街店),心理咨询中心,南礼士路66号建威大厦1111室,4000067825,4.3,24小时营业,116.353047,39.908637,北京市,西城区,B0LULUA34L,试点地区搜索
观心实验室·心理咨询(丰联店),心理咨询中心,北京城区朝阳门外大街18号4层409室,15010951887,4.3,08:00-24:00,116.438502,39.924023,北京市,朝阳区,B0K3XR45X9,试点地区搜索
壹点灵・心理咨询中心(中关村店),心理咨询中心,中关村大街22号A座5层509,4000067825,4.3,24小时营业,116.317119,39.981648,北京市,海淀区,B0LB3U7H9M,试点地区搜索
雨天晴心理咨询(中关村店),心理咨询中心,北京城区中关村南大街6号4层410,15901320352,4.2,11:00-22:00,116.323564,39.964692,北京市,海淀区,B0LAZ5W6Q7,试点地区搜索
北京晏麦心理咨询有限公司,心理咨询中心,北京城区鼓楼西大街75号8号楼三层307室308室,13366973857,4.3,09:00-21:00,116.390060,39.943700,北京市,西城区,B0JG3AV18X,试点地区搜索
圣安米悦心理咨询中心(北京店),心理咨询中心,北京城区光华路9号楼4层431室,15321659252,4.6,24小时营业,116.452844,39.913727,北京市,朝阳区,B0K1Y55QBW,试点地区搜索
雨天晴心理咨询(国贸店),心理咨询中心,东三环中路建外SOHO东区3号楼23层2304号,15901320352,4.2,09:00-21:30,116.459867,39.906262,北京市,朝阳区,B0LAZ5W6Q6,试点地区搜索
