scale_code,score_name,question_nos,formula,range_min,range_max,risk_level,suggestion,special_trigger
DASS21,depression,"3,5,10,13,16,17,21",sum(selected_scores_of_question_nos) * 2,,,维度得分,分别输出抑郁/焦虑/压力维度分数；总分不作为核心解释,
DASS21,depression,"3,5,10,13,16,17,21",dimension_score = sum(...) * 2,0,9,正常,中度及以上建议进一步专业评估；重度/极重度建议人工复核,
DASS21,depression,"3,5,10,13,16,17,21",dimension_score = sum(...) * 2,10,13,轻度,中度及以上建议进一步专业评估；重度/极重度建议人工复核,
DASS21,depression,"3,5,10,13,16,17,21",dimension_score = sum(...) * 2,14,20,中度,中度及以上建议进一步专业评估；重度/极重度建议人工复核,
DASS21,depression,"3,5,10,13,16,17,21",dimension_score = sum(...) * 2,21,27,重度,中度及以上建议进一步专业评估；重度/极重度建议人工复核,
DASS21,depression,"3,5,10,13,16,17,21",dimension_score = sum(...) * 2,28,999,极重度,中度及以上建议进一步专业评估；重度/极重度建议人工复核,
DASS21,anxiety,"2,4,7,9,15,19,20",sum(selected_scores_of_question_nos) * 2,,,维度得分,分别输出抑郁/焦虑/压力维度分数；总分不作为核心解释,
DASS21,anxiety,"2,4,7,9,15,19,20",dimension_score = sum(...) * 2,0,7,正常,中度及以上建议进一步专业评估；重度/极重度建议人工复核,
DASS21,anxiety,"2,4,7,9,15,19,20",dimension_score = sum(...) * 2,8,9,轻度,中度及以上建议进一步专业评估；重度/极重度建议人工复核,
DASS21,anxiety,"2,4,7,9,15,19,20",dimension_score = sum(...) * 2,10,14,中度,中度及以上建议进一步专业评估；重度/极重度建议人工复核,
DASS21,anxiety,"2,4,7,9,15,19,20",dimension_score = sum(...) * 2,15,19,重度,中度及以上建议进一步专业评估；重度/极重度建议人工复核,
DASS21,anxiety,"2,4,7,9,15,19,20",dimension_score = sum(...) * 2,20,999,极重度,中度及以上建议进一步专业评估；重度/极重度建议人工复核,
DASS21,stress,"1,6,8,11,12,14,18",sum(selected_scores_of_question_nos) * 2,,,维度得分,分别输出抑郁/焦虑/压力维度分数；总分不作为核心解释,
DASS21,stress,"1,6,8,11,12,14,18",dimension_score = sum(...) * 2,0,14,正常,中度及以上建议进一步专业评估；重度/极重度建议人工复核,
DASS21,stress,"1,6,8,11,12,14,18",dimension_score = sum(...) * 2,15,18,轻度,中度及以上建议进一步专业评估；重度/极重度建议人工复核,
DASS21,stress,"1,6,8,11,12,14,18",dimension_score = sum(...) * 2,19,25,中度,中度及以上建议进一步专业评估；重度/极重度建议人工复核,
DASS21,stress,"1,6,8,11,12,14,18",dimension_score = sum(...) * 2,26,33,重度,中度及以上建议进一步专业评估；重度/极重度建议人工复核,
DASS21,stress,"1,6,8,11,12,14,18",dimension_score = sum(...) * 2,34,999,极重度,中度及以上建议进一步专业评估；重度/极重度建议人工复核,
