scale_code,score_name,question_nos,formula,range_min,range_max,risk_level,suggestion,special_trigger
DASS21,depression,"3,5,10,13,16,17,21",sum(selected_scores_of_question_nos) * 2,,,维度得分,分别输出抑郁/焦虑/压力维度分数；总分不作为核心解释,
DASS21,depression,"3,5,10,13,16,17,21",dimension_score = sum(...) * 2,0,9,正常,中度及以上建议进一步专业评估；重度/极重度建议人工复核,
DASS21,depression,"3,5,10,13,16,17,21",dimension_score = sum(...) * 2,10,13,轻度,中度及以上建议进一步专业评估；重度/极重度建议人工复核,
DASS21,depression,"3,5,10,13,16,17,21",dimension_score = sum(...) * 2,14,20,中度,中度及以上建议进一步专业评估；重度/极重度建议人工复核,
DASS21,depression,"3,5,10,13,16,17,21",dimension_score = sum(...) * 2,21,27,重度,中度及以上建议进一步专业评估；重度/极重度建议人工复核,
DASS21,depression,"3,5,10,13,16,17,21",dimension_score = sum(...) * 2,28,999,极重度,中度及以上建议进一步专业评估；重度/极重度建议人工复核,
DASS21,anxiety,"2,4,7,9,15,19,20",sum(selected_scores_of_question_nos) * 2,,,维度得分,分别输出抑郁/焦虑/压力维度分数；总分不作为核心解释,
DASS21,anxiety,"2,4,7,9,15,19,20",dimension_score = sum(...) * 2,0,7,正常,中度及以上建议进一步专业评估；重度/极重度建议人工复核,
DASS21,anxiety,"2,4,7,9,15,19,20",dimension_score = sum(...) * 2,8,9,轻度,中度及以上建议进一步专业评估；重度/极重度建议人工复核,
DASS21,anxiety,"2,4,7,9,15,19,20",dimension_score = sum(...) * 2,10,14,中度,中度及以上建议进一步专业评估；重度/极重度建议人工复核,
DASS21,anxiety,"2,4,7,9,15,19,20",dimension_score = sum(...) * 2,15,19,重度,中度及以上建议进一步专业评估；重度/极重度建议人工复核,
DASS21,anxiety,"2,4,7,9,15,19,20",dimension_score = sum(...) * 2,20,999,极重度,中度及以上建议进一步专业评估；重度/极重度建议人工复核,
DASS21,stress,"1,6,8,11,12,14,18",sum(selected_scores_of_question_nos) * 2,,,维度得分,分别输出抑郁/焦虑/压力维度分数；总分不作为核心解释,
DASS21,stress,"1,6,8,11,12,14,18",dimension_score = sum(...) * 2,0,14,正常,中度及以上建议进一步专业评估；重度/极重度建议人工复核,
DASS21,stress,"1,6,8,11,12,14,18",dimension_score = sum(...) * 2,15,18,轻度,中度及以上建议进一步专业评估；重度/极重度建议人工复核,
DASS21,stress,"1,6,8,11,12,14,18",dimension_score = sum(...) * 2,19,25,中度,中度及以上建议进一步专业评估；重度/极重度建议人工复核,
DASS21,stress,"1,6,8,11,12,14,18",dimension_score = sum(...) * 2,26,33,重度,中度及以上建议进一步专业评估；重度/极重度建议人工复核,
DASS21,stress,"1,6,8,11,12,14,18",dimension_score = sum(...) * 2,34,999,极重度,中度及以上建议进一步专业评估；重度/极重度建议人工复核,
PHQ9,total,"1,2,3,4,5,6,7,8,9",sum(q1:q9),0,4,无或极轻微抑郁,保持观察，可结合日常心理健康教育。,q9 > 0 时触发自杀风险复核/人工关注
PHQ9,total,"1,2,3,4,5,6,7,8,9",sum(q1:q9),5,9,轻度抑郁,建议关注情绪变化，可推荐心理咨询或自助干预。,q9 > 0 时触发自杀风险复核/人工关注
PHQ9,total,"1,2,3,4,5,6,7,8,9",sum(q1:q9),10,14,中度抑郁,建议预约心理咨询/精神心理科进一步评估。,q9 > 0 时触发自杀风险复核/人工关注
PHQ9,total,"1,2,3,4,5,6,7,8,9",sum(q1:q9),15,19,中重度抑郁,建议尽快由专业人员评估并制定干预方案。,q9 > 0 时触发自杀风险复核/人工关注
PHQ9,total,"1,2,3,4,5,6,7,8,9",sum(q1:q9),20,27,重度抑郁,建议尽快转介专业医生；必要时启动风险复核流程。,q9 > 0 时触发自杀风险复核/人工关注
GAD7,total,"1,2,3,4,5,6,7",sum(q1:q7),0,4,无或极轻微焦虑,保持观察，可结合心理健康教育。,total >= 10 建议进一步评估
GAD7,total,"1,2,3,4,5,6,7",sum(q1:q7),5,9,轻度焦虑,建议关注压力源和睡眠，可推荐放松训练。,total >= 10 建议进一步评估
GAD7,total,"1,2,3,4,5,6,7",sum(q1:q7),10,14,中度焦虑,建议心理咨询或精神心理科进一步评估。,total >= 10 建议进一步评估
GAD7,total,"1,2,3,4,5,6,7",sum(q1:q7),15,21,重度焦虑,建议尽快专业评估并进行干预。,total >= 10 建议进一步评估
SDS,raw,1-20,sum(score if reverse_score=false else reverse_score_value),20,80,原始分,先计算原始分，再换算指数分。,q19 高分建议人工关注
SDS,index,1-20,index_score = raw_score * 1.25,25,49,正常范围,保持观察。,
SDS,index,1-20,index_score = raw_score * 1.25,50,59,轻度抑郁,建议关注情绪变化并适当随访。,
SDS,index,1-20,index_score = raw_score * 1.25,60,69,中度抑郁,建议专业心理评估。,
SDS,index,1-20,index_score = raw_score * 1.25,70,100,重度抑郁,建议尽快转介专业医生。,
ISI,total,"1,2,3,4,5,6,7",sum(q1:q7),0,7,无临床显著失眠,保持良好睡眠习惯。,total >= 15 建议进一步评估
ISI,total,"1,2,3,4,5,6,7",sum(q1:q7),8,14,亚临床失眠,建议进行睡眠卫生教育和随访观察。,total >= 15 建议进一步评估
ISI,total,"1,2,3,4,5,6,7",sum(q1:q7),15,21,中度临床失眠,建议进一步评估睡眠及共病情绪问题。,total >= 15 建议进一步评估
ISI,total,"1,2,3,4,5,6,7",sum(q1:q7),22,28,重度临床失眠,建议专业评估与治疗。,total >= 15 建议进一步评估
